participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,group_selected,group_same,group_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_blue,cl_yellow
1,0,  ,1,0, r/g ,0,80,50,0.0, target1 , redDot100S ,1559.82695834246,232.797125005163,2,0,1539.44,1,0,917.577288646091,558.422185124855,9.0,6.0,933.0,570.5,48.572111339739,46.3123308621841,2,0,0,0,"[917.58, 558.42]",0,0,0,0,0,-0.0434656937810903,0.0,46.30789241587227,130.18047357418857,95.37728974970935,123.72758867770757
1,0,  ,1,0, r/g ,0,80,50,0.0, target1 , redDot100S ,2026.45195834339,466.625000000931,3,3,2006.58,1,0,792.034309557689,570.48430986901,8.0,6.0,799.5,578.5,132.185475752822,126.12111025413,3,0,0,0,"[792.03, 570.48]",0,0,0,1,0,-0.0669467896306132,1.0,126.12789580421938,67.59971153784609,65.03892142402117,146.30724110583182
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,2376.3735833345,349.921624991111,1,0,2347.13,2,0,829.199065181487,655.275763621528,8.0,7.0,826.5,664.0,89.5125689498408,92.5786675754303,4,0,1,0,"[829.2, 655.28]",0,0,0,0,0,0.0669467896306132,2.0,128.727980252935,92.58860027022764,51.18245988617579,197.91898064612204
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,2709.87691666232,333.503333327826,2,2,2689.47,2,0,700.546470246739,659.75972790194,7.0,7.0,708.0,665.0,119.509413855144,128.730711639112,5,0,0,0,"[700.55, 659.76]",0,0,0,0,0,0.0457574905606751,0.0,128.727980252935,50.406247628642134,100.31292090254374,96.38723981938688
1,0,  ,1,0, r/g ,0,80,50,0.0, target1 , redDot100S ,3010.00862498768,300.131708325353,1,0,2989.51,3,0,651.082244040304,650.089981189454,6.0,7.0,653.0,662.0,53.0212221662232,50.4005324940628,6,0,1,0,"[651.08, 650.09]",0,0,0,1,0,-0.048304679574555,1.0,236.6061725737518,50.406247628642134,115.72289877115935,70.01092629011565
1,0,  ,1,0, r/g ,0,80,50,0.0, target1 , redDot100S ,4227.27908333763,1217.27045834996,2,2,4206.54,3,0,390.894547222885,674.738675068004,3.0,7.0,393.0,678.5,259.433999313891,261.352627086607,7,0,0,0,"[390.89, 674.74]",0,0,0,1,0,-0.0746336182969042,0.0,261.3149373839926,84.7600053091079,114.09137434530275,72.61810793459163
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,5143.33337498829,916.054291650653,1,0,5122.92,4,0,311.258475570213,645.703460968835,2.0,7.0,313.0,656.5,83.721263726726,84.7640700182224,8,0,1,0,"[311.26, 645.7]",0,0,0,0,0,0.0746336182969041,1.0,49.14717489337517,84.7600053091079,116.8928509362314,154.15429575590815
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,5360.22475000937,216.891375021078,2,0,5339.67,4,0,306.544559397603,596.778769792238,2.0,6.0,308.5,594.5,60.5330488245884,49.1512605373223,9,0,0,0,"[306.54, 596.78]",0,0,0,0,0,0.0511525224473812,0.0,86.15365169277507,114.85941014997421,92.27721820687917,115.29059024916126
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,5709.98566667549,349.760916666128,3,0,5689.62,4,0,218.382837016593,650.928286221648,1.0,7.0,228.0,665.0,99.6807403664319,103.463324046375,10,0,0,0,"[218.38, 650.93]",0,0,0,0,0,0.0263289387223491,1.0,68.63557386661812,94.7840540386409,107.80936740376505,188.98050719584808
1,0,  ,1,0, r/g ,0,80,50,0.0, target2 , greenDot100S ,6093.42258333345,383.436916657956,4,0,6073.02,4,0,221.602429198754,582.365788810783,1.0,6.0,227.5,602.0,65.6543981771214,68.6380493970678,11,0,0,0,"[221.6, 582.37]",0,0,0,0,0,0.0,2.0,68.63557386661812,80.35006222772947,66.39056559481925,129.08073791236245
