participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;43270.8760833339;0.0;1;1;43251.01;1;0;917.36780486194;425.130013971752;9.0;4.0;921.0;425.5;0.0;0.0;1;0;2;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;43787.6281250028;516.752041668951;1;1;43767.27;2;0;890.162210071825;325.209497011321;9.0;3.0;888.5;315.5;114.657097468931;103.557974572332;2;0;1;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;44087.8078750029;300.179750000098;1;1;44067.33;3;0;909.235421851344;289.228353776715;9.0;2.0;912.0;276.0;44.9444101084885;40.7238268837249;3;0;1;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;46071.0750416692;1983.26716666634;1;0;46051.08;4;0;195.093584219508;514.304192392129;1.0;5.0;204.5;519.5;748.70304527229;748.770790953151;4;0;1;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;46321.2615000011;250.186458331882;2;0;46301.10;4;0;102.714468788159;483.944238583218;0.0;5.0;92.0;474.5;117.082236056543;97.2400522580985;5;0;0;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;46671.2119583353;349.950458334206;3;3;46651.09;4;0;192.463074693718;366.527555242168;1.0;3.0;190.0;356.0;144.901690811391;147.788665968686;6;0;0;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;47771.2797083368;700.163000001339;1;0;47751.23;5;0;310.112879638288;350.080143098136;2.0;3.0;315.0;352.5;22.0510770711999;118.793913858123;8;0;1;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48187.9830416692;416.703333332407;2;0;48167.45;5;0;396.962514653844;421.843652363982;3.0;4.0;396.0;430.0;101.519702521235;112.662595232333;9;0;0;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48454.6470000023;266.663958333083;3;0;48434.17;5;0;466.868092875776;479.6699426114;4.0;5.0;464.0;487.0;86.8288546509742;90.7230384760193;10;0;0;0
11;33;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48687.8247916684;233.177791666094;4;0;48651.17;5;0;405.731108630071;511.071305811064;3.0;5.0;397.5;510.5;65.471367787759;68.7297348565873;11;0;0;0
