participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;28590.9102916667;0.0;1;0;28570.04;1;0;143.461988867043;111.772314992405;0.0;0.0;147.0;129.0;0.0;0.0;1;0;2;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;29607.2527916658;1016.34249999915;2;0;29587.07;1;0;320.749816886852;644.342058103133;2.0;7.0;322.0;645.5;548.240138990206;561.303398565346;2;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;30040.5394583322;433.28666666639;3;0;30019.98;1;0;402.84976325451;631.713554892886;3.0;7.0;391.5;629.5;70.2602305717822;83.0655180378935;3;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;30507.1260000004;466.586541668221;4;0;30469.98;1;0;365.33889386072;482.135775794074;3.0;5.0;373.0;488.5;145.836380920537;154.209524098905;4;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;30940.4154583353;433.289458334912;5;0;30919.94;1;0;447.822165495226;282.955467939516;4.0;2.0;458.0;288.5;218.561776164086;215.583591992917;5;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;31890.5475833344;516.43737500126;6;0;31859.94;1;0;616.136948526453;290.580706586622;6.0;2.0;621.5;298.5;16.224980739588;168.487419267061;7;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;32290.4140416686;399.866458334145;7;0;32270.07;1;0;563.42987941578;137.899150259613;5.0;0.0;577.5;147.5;157.900284990243;161.523041008628;8;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;32790.4551666652;500.041124996642;8;0;32770.11;1;0;828.395593154755;251.35317493923;8.0;2.0;833.0;253.0;278.172608284856;288.233664191412;9;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;33173.8516250007;383.396458335483;9;0;33153.59;1;0;819.588754062715;358.648555063313;8.0;3.0;827.5;366.5;113.31923931972;107.656207488304;10;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target1;blueDot100S;34140.5837916682;966.732166667498;10;10;34120.22;1;0;918.962870602738;669.561402903781;9.0;7.0;937.0;679.5;330.310838453721;326.407741927761;11;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;34623.9200833334;483.336291665182;1;0;34587.16;2;0;886.276803618725;491.984174276512;9.0;5.0;888.0;505.0;181.320158835139;180.560380764509;12;0;1;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;35324.0074166679;700.087333334523;2;0;35303.62;2;0;706.636775669718;251.889669772499;7.0;2.0;708.5;243.0;316.512637978328;299.859818472812;13;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;35791.0120416673;467.00462499939;3;0;35770.28;2;0;720.286831526098;639.784962083689;7.0;7.0;732.5;651.5;397.004093177892;388.135391097057;14;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;36790.6962916677;600.060583332379;4;0;36770.35;2;0;528.7096577186;599.315672672457;5.0;6.0;538.0;595.5;15.6524758424985;195.804946080324;16;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;37640.8520000005;400.126791668299;5;0;37620.40;2;0;532.001370888768;416.879549864725;5.0;4.0;526.5;422.0;26.5188612123522;182.465816745801;18;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;38041.2014583344;400.349458333949;6;0;38020.39;2;0;470.67686489349;366.216611311204;4.0;3.0;479.5;375.5;67.79564882793;79.545134222294;19;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;38524.1381666674;482.936708333;7;0;38487.42;2;0;376.482945842725;577.282938014002;3.0;6.0;393.0;586.5;227.105702262185;231.130890739327;20;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;38974.1481250021;450.009958334704;8;0;38953.78;2;0;365.965469944118;251.333378328685;3.0;2.0;370.5;253.5;327.417928647776;326.119200229502;21;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;40090.8210833331;733.385291667219;9;0;40070.41;2;0;308.426280438748;333.004076483842;2.0;3.0;309.5;323.5;32.0351369592827;99.9042605001688;23;0;0;0
10;25;m;0;0;b/y;0;40;50;0.0;target2;yellowDot100S;40840.8521249985;750.031041665352;10;10;40820.59;2;2;121.513467254779;582.116166791361;0.0;6.0;128.0;574.5;307.100146532039;311.437366527729;24;0;0;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;1553.53658333115;0.0;1;1;1533.28;1;0;141.777846703638;282.702400390201;0.0;2.0;138.0;282.0;0.0;0.0;1;0;2;0
10;25;m;1;0;b/y;0;40;50;0.0;target2;yellowDot100S;1870.34562500048;316.80904166933;1;1;1849.91;2;0;122.104651604329;175.654998202276;0.0;1.0;116.0;182.5;100.623058987491;108.840162259153;2;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;2453.53858333328;583.192958332802;1;1;2416.91;3;0;276.775462372971;169.437931046012;2.0;1.0;274.5;180.0;142.816315594543;154.795709332831;3;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target2;yellowDot100S;2853.72116666622;400.182583332935;1;1;2833.29;4;0;368.271817315327;342.839410349274;3.0;3.0;373.0;353.5;200.87433882903;196.060337631805;4;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;3420.39049999948;566.669333333266;1;1;3399.94;5;0;457.836303544337;403.933830613291;4.0;4.0;450.5;404.0;96.729002889516;108.417366601772;5;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target2;yellowDot100S;3787.00391666644;366.613416666951;1;0;3767.09;6;0;401.667857388226;195.063045904133;3.0;1.0;400.0;202.0;206.549025657348;216.291236643123;6;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target2;yellowDot100S;4136.98341666532;349.979499998881;2;2;4116.97;6;0;468.467397933441;120.060128800383;4.0;0.0;475.5;124.0;95.6268790665051;100.437125561834;7;0;0;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;4620.40949999937;483.426083334052;1;0;4600.06;7;0;572.046193849148;427.067995675259;5.0;4.0;574.0;429.0;323.975693532709;324.009872205169;8;0;1;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;4937.08970833177;316.6802083324;2;0;4917.03;7;0;579.914310183735;518.686062099901;5.0;5.0;570.5;530.5;98.5608948823011;91.9553008262422;9;0;0;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;5187.05291666629;249.96320833452;3;0;5167.03;7;0;620.507115968768;480.457316404163;6.0;5.0;621.0;482.5;52.6806416058119;55.7603163456844;10;0;0;0
10;25;m;1;0;b/y;0;40;50;0.0;target1;blueDot100S;5570.33858333307;383.285666666779;4;4;5550.07;7;0;744.849272248464;560.693492839091;7.0;6.0;750.0;570.0;153.278341588106;147.982484900008;11;0;0;0
