participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
13;0;;0;0;b/y;0;80;50;0.0;5.0;3.0;blueDot100S;target1;533.850420274584;355.584563124341
13;0;;0;0;b/y;0;80;50;0.0;3.0;6.0;blueDot100S;target1;374.565518343261;563.919246957668
13;0;;0;0;b/y;0;80;50;0.0;1.0;6.0;blueDot100S;target1;231.692180283805;560.674529319027
13;0;;0;0;b/y;0;80;50;0.0;6.0;0.0;blueDot100S;target1;626.127847821122;129.29761244004
13;0;;0;0;b/y;0;80;50;0.0;7.0;3.0;blueDot100S;target1;749.34347897307;330.367995618989
13;0;;0;0;b/y;0;80;50;0.0;5.0;2.0;blueDot100S;target1;568.490626537857;287.347454982908
13;0;;0;0;b/y;0;80;50;0.0;0.0;2.0;blueDot100S;target1;131.204002204686;266.098997632695
13;0;;0;0;b/y;0;80;50;0.0;2.0;2.0;blueDot100S;target1;284.091325565212;291.696667672071
13;0;;0;0;b/y;0;80;50;0.0;5.0;7.0;blueDot100S;target1;575.4044910669;663.188337468696
13;0;;0;0;b/y;0;80;50;0.0;0.0;7.0;blueDot100S;target1;109.797399105672;661.849201278646
13;0;;0;0;b/y;0;80;50;0.0;2.0;0.0;blueDot100S;target1;321.517025626435;107.538219506284
13;0;;0;0;b/y;0;80;50;0.0;4.0;7.0;blueDot100S;target1;445.8723808204;653.789002432757
13;0;;0;0;b/y;0;80;50;0.0;2.0;3.0;blueDot100S;target1;300.490801316725;329.686467651536
13;0;;0;0;b/y;0;80;50;0.0;7.0;2.0;blueDot100S;target1;740.171787474457;280.762360363341
13;0;;0;0;b/y;0;80;50;0.0;2.0;6.0;blueDot100S;target1;293.316073082526;594.963321295936
13;0;;0;0;b/y;0;80;50;0.0;3.0;0.0;blueDot100S;target1;369.862827663842;134.826245984359
13;0;;0;0;b/y;0;80;50;0.0;3.0;5.0;blueDot100S;target1;407.253641139667;489.361584446928
13;0;;0;0;b/y;0;80;50;0.0;1.0;3.0;blueDot100S;target1;194.274845721343;363.976604213419
13;0;;0;0;b/y;0;80;50;0.0;6.0;5.0;blueDot100S;target1;643.4319235395;483.825889224656
13;0;;0;0;b/y;0;80;50;0.0;0.0;3.0;blueDot100S;target1;127.321603464833;363.810182133422
13;0;;0;0;b/y;0;80;50;0.0;4.0;6.0;yellowDot100S;target2;478.68354406776;558.158757679107
13;0;;0;0;b/y;0;80;50;0.0;8.0;6.0;yellowDot100S;target2;835.860925669495;565.447631113883
13;0;;0;0;b/y;0;80;50;0.0;0.0;5.0;yellowDot100S;target2;131.081244973782;517.865356239578
13;0;;0;0;b/y;0;80;50;0.0;6.0;3.0;yellowDot100S;target2;638.37841943088;367.26622390851
13;0;;0;0;b/y;0;80;50;0.0;9.0;6.0;yellowDot100S;target2;921.755718701596;563.366311626183
13;0;;0;0;b/y;0;80;50;0.0;9.0;3.0;yellowDot100S;target2;879.277266688943;331.210118301941
13;0;;0;0;b/y;0;80;50;0.0;7.0;1.0;yellowDot100S;target2;743.523413596036;169.015297293613
13;0;;0;0;b/y;0;80;50;0.0;2.0;4.0;yellowDot100S;target2;309.373660187386;426.807839053819
13;0;;0;0;b/y;0;80;50;0.0;8.0;7.0;yellowDot100S;target2;833.51242806803;632.997532002992
13;0;;0;0;b/y;0;80;50;0.0;5.0;1.0;yellowDot100S;target2;540.256316464624;207.513331264998
13;0;;0;0;b/y;0;80;50;0.0;4.0;2.0;yellowDot100S;target2;487.512027340256;284.254708490936
13;0;;0;0;b/y;0;80;50;0.0;6.0;1.0;yellowDot100S;target2;652.391832195631;170.682972831254
13;0;;0;0;b/y;0;80;50;0.0;3.0;7.0;yellowDot100S;target2;366.286356974115;640.394666988442
13;0;;0;0;b/y;0;80;50;0.0;6.0;6.0;yellowDot100S;target2;660.106129411309;562.376361616834
13;0;;0;0;b/y;0;80;50;0.0;4.0;4.0;yellowDot100S;target2;459.956681651334;427.579447098235
