participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
1;0;  ;0;0;r/g;0;80;50;0.0;target1;redDot100S;2339.52391665662;0.0;2;0; 2319.36 ;1;0; 898.915109975709 ; 489.238887497966 ; 9.0 ; 5.0 ; 900.0 ; 492.0 ; 0.0 ; 783.212904951487 ;1;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 3823.26504166122 ; 1483.7411250046 ;3;3; 3802.65 ;1;0; 882.823844738954 ; 405.448850668566 ; 9.0 ; 4.0 ; 880.5 ; 410.5 ; 82.4878778973008 ; 85.3211526457058 ;2;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 5289.72954166238 ; 1466.46450000117 ;1;0; 5269.30 ;2;0; 816.631247129135 ; 340.49276340758 ; 8.0 ; 3.0 ; 818.5 ; 344.5 ; 94.4788336083802 ; 92.7402461210463 ;3;0;1;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 5723.08845832595 ; 433.358916663565 ;2;0; 5702.76 ;2;0; 750.085567546874 ; 273.778861270946 ; 7.0 ; 2.0 ; 745.5 ; 285.5 ; 93.6055553906925 ; 94.2288289716119 ;4;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 6173.06562501471 ; 449.977166688768 ;3;3; 6152.79 ;2;0; 825.867916590972 ; 246.810016366749 ; 8.0 ; 2.0 ; 825.5 ; 256.0 ; 84.924966882537 ; 80.438069482728 ;5;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 6706.54962499975 ; 533.483999985037 ;1;0; 6686.51 ;3;0; 881.60410350764 ; 270.672634366508 ; 9.0 ; 2.0 ; 880.0 ; 275.0 ; 60.4069532421558 ; 60.6295890618781 ;6;0;1;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 7039.85641666804 ; 333.306791668292 ;2;2; 7019.51 ;3;0; 870.600109323032 ; 138.647977941247 ; 9.0 ; 0.0 ; 867.5 ; 149.5 ; 125.957334046097 ; 132.482443335799 ;7;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 7356.46483334131 ; 316.608416673262 ;1;0; 7336.52 ;4;0; 822.37934659564 ; 125.720232018607 ; 8.0 ; 0.0 ; 824.5 ; 128.0 ; 49.30770730829 ; 49.9236273987752 ;8;0;1;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 7573.17191667971 ; 216.707083338406 ;2;0; 7536.52 ;4;0; 736.513425181995 ; 180.465087520305 ; 7.0 ; 1.0 ; 738.5 ; 176.5 ; 95.954416261056 ; 101.832979255819 ;9;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 7756.5882083436 ; 183.416291663889 ;3;3; 7736.56 ;4;0; 731.312588891089 ; 111.576034177563 ; 7.0 ; 0.0 ; 732.0 ; 107.0 ; 71.5856130797243 ; 69.0850951261125 ;10;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 8256.68483332265 ; 183.40112498845 ;1;0; 8236.59 ;5;0; 661.018408883591 ; 341.956595349161 ; 6.0 ; 3.0 ; 657.5 ; 350.0 ; 87.5128561983895 ; 240.866092899493 ;12;0;1;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 8473.59508334193 ; 216.910250019282 ;2;0; 8436.66 ;5;0; 641.816548344913 ; 252.147901134881 ; 6.0 ; 2.0 ; 647.5 ; 271.0 ; 76.9756454990798 ; 91.8385159103788 ;13;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target1 ; redDot100S ; 8873.18262501503 ; 399.5875416731 ;3;3; 8836.58 ;5;0; 620.273941953561 ; 98.8106522694183 ; 6.0 ; 0.0 ; 621.0 ; 109.0 ; 161.605228875801 ; 154.843132814347 ;14;0;0;0
1;0;  ;0;0; r/g ;0;80;50; 0.0 ; target2 ; greenDot100S ; 9256.81179168168 ; 383.629166666651 ;1;0; 9227.21 ;6;0; 615.095196167407 ; 178.840460231758 ; 6.0 ; 1.0 ; 609.5 ; 173.0 ; 69.0507060065283 ; 80.1971917862878 ;15;0;1;0
