participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;19990.5945416831;0.0;1;1;19953.59;1;0;111.651982921566;639.964623414357;0.0;7.0;104.0;650.0;0.0;0.0;1;0;2;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;20240.4537500115;249.859208328416;1;0;20220.48;2;0;105.543756390447;579.946691667699;0.0;6.0;108.0;586.0;64.3816744112795;60.3279583816816;2;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;20757.0965416671;516.642791655613;2;0;20736.82;2;0;195.293648278525;669.123042951483;1.0;7.0;201.5;679.5;131.523762111643;126.520609871319;3;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;21257.9240833293;500.827541662147;3;0;21226.45;2;0;289.602886914954;667.011245841874;2.0;7.0;306.0;673.5;112.589964028771;94.3328796296136;4;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;21840.5635833333;582.639500004007;4;4;21820.55;2;0;403.615637255674;664.129516241163;3.0;7.0;414.5;674.0;111.162043881893;114.049163108489;5;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;22324.078958336;483.515375002753;1;0;22303.59;3;0;395.919716832265;593.541883161667;3.0;6.0;400.5;602.0;73.0770141699837;71.0059232282992;6;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;22724.052000005;399.973041669;2;0;22703.61;3;0;540.564955375358;649.532859560807;5.0;7.0;555.0;651.5;162.864974749023;155.103947306915;7;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;23164.0374166693;449.985416664276;3;3;23153.65;3;0;316.915506397685;553.728422620373;2.0;6.0;316.5;552.0;256.047847091125;242.38660703004;8;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;23524.0950000007;350.057583331363;1;0;23503.62;4;0;286.52128820591;499.585274705753;2.0;5.0;286.5;504.5;54.5206382941359;62.586559275752;9;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;24164.0938333387;649.998833338032;2;2;24153.70;4;0;373.394637960899;443.242583073053;3.0;4.0;374.0;439.5;107.100420167243;103.544569138463;10;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;24774.1220833559;600.028250016203;1;0;24753.72;5;0;147.947679824881;480.632795116378;0.0;5.0;140.5;488.5;238.483752067096;228.526494939707;11;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;24974.0523333312;199.930249975296;2;2;24953.77;5;0;192.134464509237;436.260658322396;1.0;4.0;198.0;446.5;65.4847310447252;62.6207510686798;12;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;26257.4267916789;1283.37445834768;1;0;26237.10;6;0;138.08466661647;401.859162299308;0.0;4.0;130.5;406.0;81.5414005275848;64.0690478534346;13;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;26857.6330000069;600.206208328018;2;0;26837.15;6;0;138.9326994994;278.557352094163;0.0;2.0;145.5;284.0;124.90096076492;123.30473642837;14;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;27141.1548333416;283.521833334816;3;3;27120.83;6;0;205.872803773187;275.11206616688;1.0;2.0;218.0;272.5;67.6849318534044;67.0287069488699;15;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;28407.5778333354;1266.42299999367;1;1;28387.26;7;0;227.052402589561;162.523785875184;1.0;1.0;231.5;189.5;84.1624420460759;104.751657318347;16;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;29874.3144583423;1466.73662500689;1;0;29853.98;8;0;200.368387816222;94.3244303670853;1.0;0.0;203.5;82.5;109.89199242893;82.6267259807974;16;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;30524.4442916883;650.129833346;2;2;30504.04;8;0;448.246611063531;162.551683816492;4.0;1.0;446.5;166.0;262.423798463478;259.929091076665;18;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;31374.5182499988;850.073958310531;1;0;31351.76;9;0;360.296016840808;114.116669211435;3.0;0.0;367.5;113.0;100.445258723346;105.593416665227;19;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;31657.7872083348;383.268958335975;2;0;31637.39;9;0;366.680105561363;248.188654949838;3.0;2.0;374.0;247.5;139.057542046449;134.223894849727;20;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;32124.4832499942;366.696041659452;3;0;32104.12;9;0;408.26745100248;358.291293530895;3.0;3.0;413.5;363.0;124.435726381132;116.69493754342;21;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;33674.5114166697;1550.02816667547;4;0;33654.16;9;0;490.351379934956;253.392135538181;4.0;2.0;495.0;253.0;140.416235409333;133.197615356167;22;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;34341.3587083342;666.847291664453;5;0;34321.26;9;0;662.977073596488;288.041599020615;6.0;2.0;668.0;291.5;164.683284832865;166.068780400574;23;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;34541.3536666892;199.994958355092;6;0;34521.35;9;0;723.672109372142;288.621394893562;7.0;2.0;733.0;293.5;61.7029162730107;60.6978049937732;24;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;34891.3130833535;349.959416664205;7;0;34871.27;9;0;652.996167455679;109.087531300663;6.0;0.0;656.0;90.5;213.923467623354;192.944280891801;25;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;35607.9372083477;333.283583342563;8;0;35587.75;9;0;825.136912441655;169.547502732743;8.0;1.0;830.0;187.5;123.698221490852;186.002796257894;27;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;36491.502708348;583.387624996249;9;0;36471.35;9;0;881.254861540711;131.61427997296;9.0;0.0;885.5;132.5;28.9006920332369;73.8025613052278;29;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;37008.1835416786;516.680833330611;10;10;36987.68;9;0;746.187452274888;101.62722893937;7.0;0.0;736.0;95.5;154.671425932523;138.356164573439;30;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;37624.8495833424;616.666041663848;1;0;37604.37;10;0;659.67819716398;165.453912218003;6.0;1.0;663.0;163.0;98.5418692739284;113.728757937636;31;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;37808.0887499964;183.239166653948;2;0;37771.56;10;0;723.451357423249;203.857041619276;7.0;1.0;725.5;208.5;74.0607858451421;69.8122749496464;32;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;38341.316416685;533.227666688616;3;3;38321.38;10;0;657.774019910637;361.477009623081;6.0;3.0;660.5;354.0;164.13561466056;160.755869429845;33;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;39124.9757083424;783.659291657386;1;0;39104.54;11;0;720.403275765888;513.290395766142;7.0;5.0;718.5;515.5;160.531522012794;164.224626354285;34;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;39474.9863750185;350.010666676098;2;2;39440.46;11;0;737.593575225448;594.836016274158;7.0;6.0;735.5;601.5;86.3958911060011;83.3378352408911;35;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;40125.5160833534;650.529708334943;1;0;40104.53;12;0;614.250939240612;487.472615883827;6.0;5.0;621.5;489.0;159.45297112315;163.524633648234;36;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;40408.3442916744;282.828208321007;2;0;40371.58;12;0;579.957766222002;509.203779950271;5.0;5.0;572.5;512.5;53.0116911412169;40.5988325862575;37;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;40875.0635416654;466.719249991002;3;0;40854.42;12;0;556.21195976031;433.083859186916;5.0;4.0;553.0;421.5;93.9920209379498;79.7377304764528;38;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;41308.4119583364;433.348416670924;4;4;41271.61;12;0;487.257060445514;554.448678253129;4.0;6.0;490.0;560.5;150.519932234904;139.585806751576;39;0;0;0
16;0;;0;0;rd/gs;1;80;50;0.0;target1;redDot100S;44525.2546666889;3216.84270835249;1;1;44505.25;13;0;785.163605998798;486.79382668224;8.0;5.0;788.0;493.5;305.439028285516;305.492207469471;40;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;49325.4911666736;4800.23649998475;1;0;49305.56;14;0;473.101497949115;322.431299293753;4.0;3.0;479.5;335.5;347.942523989236;352.700722553758;41;0;1;0
16;0;;0;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;52942.3931250058;3616.90195833216;2;2;52922.09;14;14;798.404675858426;637.509616849849;8.0;7.0;801.5;632.0;439.222324113882;452.875815629444;42;0;0;0
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;4574.00895832689;0.0;1;0;4553.85;1;0;377.537160349012;186.933316327856;3.0;1.0;374.5;206.5;0.0;0.0;1;0;2;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;4974.01108333725;400.00212501036;2;0;4953.88;1;0;313.316303953969;245.514463133885;2.0;2.0;305.0;262.5;90.4267659490264;86.9256597586531;2;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;5274.0413749998;300.030291662551;3;0;5253.81;1;0;189.931160482536;252.644518363553;1.0;2.0;193.5;273.5;109.293183684986;123.590983963411;3;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;5574.04224999482;300.000874995021;4;0;5553.82;1;0;195.786244999015;169.4427952246;1.0;1.0;196.5;185.0;86.5520074868284;83.4074861627305;4;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;7007.59562500753;549.978708324488;5;0;6987.24;1;0;106.357408807668;508.629160413807;0.0;5.0;88.0;510.0;322.162702133499;350.777584598169;7;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;7457.73754167021;450.141916662687;6;0;7437.27;1;0;378.520259644108;561.606561239709;3.0;6.0;386.0;566.5;302.816601866206;277.27102501629;8;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;7724.50149999349;266.763958323281;7;0;7703.91;1;0;306.334336083153;660.04255376781;2.0;7.0;302.5;680.5;138.110463035934;122.067408366609;9;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;8507.71491666092;783.213416667422;8;0;8487.27;1;0;634.772942091196;664.461254934785;6.0;7.0;649.0;671.0;350.628721014123;328.468328513587;10;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;8907.79125000699;400.076333346078;9;0;8871.00;1;0;645.214000161887;500.419766135557;6.0;5.0;646.5;501.0;166.271615136198;164.373433806414;11;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;9991.15929167601;650.110624992521;10;0;9971.20;1;0;907.755924850043;416.357608967789;9.0;4.0;903.5;420.0;276.333584640014;275.671377697086;13;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;10491.2084166716;500.049124995712;11;0;10471.12;1;0;830.795338645616;259.779984310944;8.0;2.0;823.5;264.0;166.219323571508;164.469150201615;14;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;10824.7301249939;333.521608322223;12;0;10804.12;1;0;748.74712207025;169.598190750612;7.0;1.0;745.5;180.5;114.021927715681;114.721531813997;15;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;11007.6709166751;182.940791681166;13;0;10987.42;1;0;735.257550994379;135.680564119493;7.0;0.0;730.5;125.0;55.1837838499681;45.942643118581;16;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;11324.7067500197;316.035833344562;14;0;11304.24;1;0;708.09254540618;271.913785006755;7.0;2.0;721.5;269.0;145.693160739057;138.915182762448;16;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;11608.0931666715;383.386416651674;15;0;11687.58;1;0;576.410771900995;328.185402139782;5.0;3.0;588.0;330.5;138.622689340526;143.201202398013;18;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;11907.8782500001;199.785083328607;16;0;11887.50;1;0;552.428860205252;413.884437823016;5.0;4.0;564.5;406.0;72.8868986855663;88.9913299463426;19;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;12108.0816916663;200.203541666269;16;0;12087.53;1;0;480.513016268623;338.235074134747;4.0;3.0;481.0;340.5;106.142592770292;104.377750673013;20;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;12424.6697916824;316.588000016054;18;0;12404.19;1;0;374.959146984111;360.636056859524;3.0;3.0;370.5;365.5;110.113577727726;107.90469567154;21;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target1;redDot100S;13207.9830833536;783.31329167122;19;19;13187.59;1;0;289.956343654766;105.149390829675;2.0;0.0;289.5;116.5;263.916127144109;269.256222013336;22;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;13591.37429166;383.391208306421;1;0;13571.26;2;0;447.259805016999;95.724335731036;4.0;0.0;456.5;92.5;164.543307369215;157.585566027324;23;0;1;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;14108.1905833271;250.277958315564;2;0;14071.27;2;0;550.04530961892;278.660420479161;5.0;2.0;561.0;291.5;113.261864720655;209.834389601049;25;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;15058.381208335;650.522583338898;3;0;15021.34;2;0;370.316434436199;260.394264509284;3.0;2.0;366.5;257.5;20.597329924046;180.653706221632;27;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;15991.4980833419;933.116875006816;4;0;15971.44;2;0;493.162089846435;166.290021074815;4.0;1.0;495.5;182.5;140.132080552599;148.885157486071;28;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;16408.0490833439;416.551000002073;5;0;16371.41;2;0;652.600277132114;106.000843133698;6.0;0.0;650.0;106.0;160.242474136157;164.235230182749;29;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;16208.1587499997;800.109666655771;6;0;16161.43;2;0;792.427038541593;115.607262814332;8.0;0.0;794.5;109.0;142.626259854208;140.1563644839;30;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;16374.8397083546;166.680958354846;7;0;16354.54;2;0;808.308440061098;204.723547103564;8.0;1.0;816.0;214.5;103.752108412311;90.5203349515621;31;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;16574.8618333309;200.022124976385;8;0;16554.56;2;0;893.549858580361;280.319556730332;9.0;2.0;896.5;277.0;100.439036235918;113.933560036833;32;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;16958.2182083395;383.356375008589;9;0;16937.98;2;0;832.793860857699;436.568460769096;8.0;4.0;827.0;438.0;166.278898340102;167.645492849021;33;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;18258.2030833291;299.984874989605;10;0;18237.86;2;0;709.572203657038;415.913551092252;7.0;4.0;693.0;411.5;133.575821165359;124.940794366915;34;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;18858.6298333539;600.426750024781;11;0;18837.90;2;0;654.797882264661;435.506799701329;6.0;4.0;644.0;439.0;54.8292804986533;58.1632040982142;35;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;19475.0582500128;616.428416658891;12;0;19454.49;2;0;732.270146253886;640.092291671298;7.0;7.0;733.0;644.0;224.078669221325;218.762828680309;36;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;19891.6839583544;416.625708341599;13;0;19871.55;2;0;874.258315883909;673.597670811679;9.0;7.0;878.5;678.0;151.744027889074;145.887801910344;37;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;20841.7976250057;950.113666651305;14;0;20821.68;2;0;464.706972558251;567.801634023194;4.0;6.0;463.0;582.0;424.124097405465;422.995370022918;38;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;21608.4149166709;766.61629166516;15;0;21588.10;2;0;220.645323646946;593.88350461353;1.0;6.0;219.5;590.5;244.184868491068;245.451313352429;39;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;22025.0402083329;416.625291662058;16;0;22004.76;2;0;108.536780143898;594.929506830562;0.0;6.0;119.0;581.0;98.1658626139847;112.113423134845;40;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;22375.2167083439;350.166500011003;16;0;22354.77;2;0;188.321005607916;509.234935182974;1.0;5.0;196.0;507.5;109.316199012781;116.085790097505;41;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;22591.8684583448;216.651650000892;18;0;22571.85;2;0;193.182387365393;442.027893147789;1.0;4.0;201.0;431.5;74.6073052723391;67.3826352386951;42;0;0;1
16;0;;1;0;rd/gs;1;80;50;0.0;target2;greenSquare100S;23208.498916676;616.630458331201;19;0;23161.84;2;0;388.782269750107;486.65151607545;3.0;5.0;392.0;491.0;201.306358568228;200.6254764514;43;0;0;1
