participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;7.0;redSquare100S;target1;459.705312316054;655.012736685995
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;5.0;redSquare100S;target1;882.717749821381;503.33372984746
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;7.0;redSquare100S;target1;365.790064410308;641.194409063751
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;6.0;redSquare100S;target1;638.307217725364;583.814698361983
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;7.0;redSquare100S;target1;915.628046423019;666.21598769407
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;1.0;redSquare100S;target1;471.150317136448;201.283239838231
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;3.0;redSquare100S;target1;577.297680748599;356.616833596589
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;4.0;redSquare100S;target1;228.336387608191;424.268257184546
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;5.0;redSquare100S;target1;304.82197291533;488.131777521345
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;7.0;redSquare100S;target1;225.207459785888;659.559444801139
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;6.0;redSquare100S;target1;829.452816836261;554.908271946209
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;1.0;redSquare100S;target1;919.42497820318;205.566971091814
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;3.0;redSquare100S;target1;643.109643605536;329.069269197759
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;0.0;redSquare100S;target1;785.987072667892;124.53502997577
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;0.0;redSquare100S;target1;574.988393924897;93.2807347780192
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;7.0;redSquare100S;target1;557.449970728251;635.301966029378
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;0.0;redSquare100S;target1;364.498136408184;102.481634575432
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;3.0;redSquare100S;target1;462.950675001324;330.547051087294
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;1.0;redSquare100S;target1;560.860210367456;178.58381120701
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;5.0;redSquare100S;target1;637.149050670581;490.585545460637
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;1.0;greenDot100S;target2;151.893802649502;201.894114842401
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;0.0;greenDot100S;target2;623.308323968926;106.865703449746
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;4.0;greenDot100S;target2;494.291800749422;429.861829062011
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;2.0;greenDot100S;target2;482.253525707359;265.370794602685
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;4.0;greenDot100S;target2;877.24519252853;441.436809162877
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;6.0;greenDot100S;target2;571.498301970951;597.263548260791
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;4.0;greenDot100S;target2;579.390966823774;437.329430410258
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;4.0;greenDot100S;target2;120.459934066388;408.047853401521
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;6.0;greenDot100S;target2;880.129336138563;556.899653602237
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;3.0;greenDot100S;target2;126.876038752253;338.021847699271
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;4.0;greenDot100S;target2;408.043912866938;404.84210653173
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;2.0;greenDot100S;target2;144.217434797912;291.907123139149
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;6.0;greenDot100S;target2;232.06348454107;577.765529057445
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;3.0;greenDot100S;target2;885.087406749177;341.250699499379
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;7.0;greenDot100S;target2;721.66401182291;643.842338095209
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;2.0;greenDot100S;target2;879.10624851234;273.290335627658
122;0;;0;0;rs/gd;1;80;50;0.0;9.0;0.0;greenDot100S;target2;897.6330091343;97.9971634761093
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;1.0;greenDot100S;target2;806.503871752624;203.070950737787
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;2.0;greenDot100S;target2;564.784989019383;284.147337850508
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;7.0;greenDot100S;target2;148.255594221889;655.212328007853
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;4.0;redDot100S;distractor1;788.876417975423;417.65447020988
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;0.0;redDot100S;distractor1;230.874324733623;114.508409632553
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;1.0;redDot100S;distractor1;386.109403989771;195.810994713835
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;0.0;redDot100S;distractor1;106.464411674179;115.529530232519
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;2.0;redDot100S;distractor1;833.59370813171;263.501190910381
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;2.0;redDot100S;distractor1;649.66743109444;274.684663215134
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;5.0;redDot100S;distractor1;383.45273801828;518.640469685728
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;2.0;redDot100S;distractor1;744.111335649119;266.755586376893
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;2.0;redDot100S;distractor1;369.344533552969;282.623187938398
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;4.0;redDot100S;distractor1;627.105677358247;420.053847799336
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;7.0;redDot100S;distractor1;282.727822108572;630.776995603534
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;4.0;redDot100S;distractor1;705.905232440444;415.180194981423
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;3.0;redDot100S;distractor1;787.544595040732;361.925457819503
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;2.0;redDot100S;distractor1;279.627972393709;270.83100823353
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;6.0;redDot100S;distractor1;287.69376715986;569.660784292868
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;5.0;redDot100S;distractor1;723.700785826597;522.434167694395
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;5.0;redDot100S;distractor1;127.58558597306;507.200913841834
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;0.0;redDot100S;distractor1;449.461670687493;135.185220984956
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;3.0;redDot100S;distractor1;188.647985217641;364.691546245011
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;3.0;redDot100S;distractor1;367.318463585633;356.261869544502
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;0.0;greenSquare100S;distractor2;736.629287860486;119.671212454235
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;6.0;greenSquare100S;distractor2;726.470562261071;562.029445167456
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;1.0;greenSquare100S;distractor2;274.569317749557;185.368979509708
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;1.0;greenSquare100S;distractor2;195.231372692171;195.411618235938
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;3.0;greenSquare100S;distractor2;742.66000355861;341.888374685441
122;0;;0;0;rs/gd;1;80;50;0.0;3.0;6.0;greenSquare100S;distractor2;376.806050911496;555.729104686441
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;1.0;greenSquare100S;distractor2;654.424713980275;212.651686055304
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;2.0;greenSquare100S;distractor2;226.113021751083;256.835283921085
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;5.0;greenSquare100S;distractor2;447.188109712879;515.255680367534
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;4.0;greenSquare100S;distractor2;305.791086205839;422.97269373745
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;7.0;greenSquare100S;distractor2;804.764662735877;670.308325410686
122;0;;0;0;rs/gd;1;80;50;0.0;5.0;5.0;greenSquare100S;distractor2;577.913186305938;500.000244968389
122;0;;0;0;rs/gd;1;80;50;0.0;8.0;5.0;greenSquare100S;distractor2;828.347770427725;486.177289509355
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;0.0;greenSquare100S;distractor2;289.243758408981;118.600236957105
122;0;;0;0;rs/gd;1;80;50;0.0;4.0;6.0;greenSquare100S;distractor2;447.687008331627;555.951416965971
122;0;;0;0;rs/gd;1;80;50;0.0;7.0;1.0;greenSquare100S;distractor2;712.010583076888;211.460019305478
122;0;;0;0;rs/gd;1;80;50;0.0;2.0;3.0;greenSquare100S;distractor2;320.357114568927;349.378271728087
122;0;;0;0;rs/gd;1;80;50;0.0;0.0;6.0;greenSquare100S;distractor2;114.7664759411;571.969224587801
122;0;;0;0;rs/gd;1;80;50;0.0;6.0;7.0;greenSquare100S;distractor2;647.078208120309;636.642053871408
122;0;;0;0;rs/gd;1;80;50;0.0;1.0;5.0;greenSquare100S;distractor2;216.080902932684;521.704304980134
122;0;;1;0;rs/gd;1;80;50;0.0;4.0;4.0;redSquare100S;target1;488.076106191377;445.650201209707
122;0;;1;0;rs/gd;1;80;50;0.0;8.0;1.0;redSquare100S;target1;790.387322044556;211.652682079957
122;0;;1;0;rs/gd;1;80;50;0.0;1.0;4.0;redSquare100S;target1;237.078849734972;435.83289303643
122;0;;1;0;rs/gd;1;80;50;0.0;7.0;6.0;redSquare100S;target1;715.283596151519;580.914827644155
122;0;;1;0;rs/gd;1;80;50;0.0;7.0;2.0;redSquare100S;target1;736.372598001111;283.572201231506
122;0;;1;0;rs/gd;1;80;50;0.0;7.0;7.0;redSquare100S;target1;701.009197756517;669.510322618156
122;0;;1;0;rs/gd;1;80;50;0.0;3.0;7.0;redSquare100S;target1;384.966339809951;651.977137293324
122;0;;1;0;rs/gd;1;80;50;0.0;2.0;5.0;redSquare100S;target1;294.543980608695;484.990306727726
122;0;;1;0;rs/gd;1;80;50;0.0;6.0;2.0;redSquare100S;target1;615.19065151045;283.833298842395
122;0;;1;0;rs/gd;1;80;50;0.0;2.0;2.0;redSquare100S;target1;318.066368700357;248.851270120003
122;0;;1;0;rs/gd;1;80;50;0.0;1.0;2.0;redSquare100S;target1;238.435436380684;259.372827352461
122;0;;1;0;rs/gd;1;80;50;0.0;7.0;3.0;redSquare100S;target1;715.755420612498;351.672016134352
122;0;;1;0;rs/gd;1;80;50;0.0;6.0;7.0;redSquare100S;target1;641.273801295116;632.639176859178
122;0;;1;0;rs/gd;1;80;50;0.0;7.0;5.0;redSquare100S;target1;722.607043625503;520.115629319028
122;0;;1;0;rs/gd;1;80;50;0.0;8.0;0.0;redSquare100S;target1;797.253390912833;106.934612738551
122;0;;1;0;rs/gd;1;80;50;0.0;3.0;6.0;redSquare100S;target1;382.649501192945;558.000829348932
122;0;;1;0;rs/gd;1;80;50;0.0;4.0;2.0;redSquare100S;target1;484.429534512165;265.124886899515
122;0;;1;0;rs/gd;1;80;50;0.0;5.0;5.0;redSquare100S;target1;536.047956375422;502.642218605462
122;0;;1;0;rs/gd;1;80;50;0.0;4.0;1.0;redSquare100S;target1;494.804226327917;201.589272459861
122;0;;1;0;rs/gd;1;80;50;0.0;6.0;5.0;redSquare100S;target1;621.546966398103;491.067302914073
122;0;;1;0;rs/gd;1;80;50;0.0;6.0;1.0;greenDot100S;target2;654.696517254271;200.114813734771
122;0;;1;0;rs/gd;1;80;50;0.0;1.0;5.0;greenDot100S;target2;194.082600046778;480.861070361214
