participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
8;24;m;0;0;rd/gs;1;40;50;0.0;2.0;4.0;redDot100S;target1;291.706815839199;430.317040951665
8;24;m;0;0;rd/gs;1;40;50;0.0;5.0;0.0;redDot100S;target1;542.707581902542;105.568590882165
8;24;m;0;0;rd/gs;1;40;50;0.0;7.0;4.0;redDot100S;target1;712.56872005428;428.740477712726
8;24;m;0;0;rd/gs;1;40;50;0.0;4.0;2.0;redDot100S;target1;470.722510200621;272.748393071403
8;24;m;0;0;rd/gs;1;40;50;0.0;1.0;3.0;redDot100S;target1;205.555929147502;340.698323842615
8;24;m;0;0;rd/gs;1;40;50;0.0;1.0;5.0;redDot100S;target1;194.831823889739;513.927303047036
8;24;m;0;0;rd/gs;1;40;50;0.0;4.0;3.0;redDot100S;target1;468.845789035633;333.121142940871
8;24;m;0;0;rd/gs;1;40;50;0.0;8.0;6.0;redDot100S;target1;828.452664191229;588.513903849994
8;24;m;0;0;rd/gs;1;40;50;0.0;3.0;0.0;redDot100S;target1;408.530614449911;107.49581128808
8;24;m;0;0;rd/gs;1;40;50;0.0;9.0;1.0;redDot100S;target1;913.145202206592;192.670908474294
8;24;m;0;0;rd/gs;1;40;50;0.0;2.0;1.0;greenSquare100S;target2;276.996979672012;168.790701044663
8;24;m;0;0;rd/gs;1;40;50;0.0;2.0;6.0;greenSquare100S;target2;304.482346110717;599.327994010122
8;24;m;0;0;rd/gs;1;40;50;0.0;0.0;7.0;greenSquare100S;target2;149.651117646999;639.01765593359
8;24;m;0;0;rd/gs;1;40;50;0.0;5.0;5.0;greenSquare100S;target2;531.923272996357;488.940355449221
8;24;m;0;0;rd/gs;1;40;50;0.0;4.0;4.0;greenSquare100S;target2;451.128681321011;421.380616975758
8;24;m;0;0;rd/gs;1;40;50;0.0;6.0;2.0;greenSquare100S;target2;636.803956311501;290.463399846942
8;24;m;0;0;rd/gs;1;40;50;0.0;1.0;2.0;greenSquare100S;target2;227.92276008953;252.182048723975
8;24;m;0;0;rd/gs;1;40;50;0.0;4.0;5.0;greenSquare100S;target2;444.602562997027;492.559519266009
8;24;m;0;0;rd/gs;1;40;50;0.0;4.0;0.0;greenSquare100S;target2;463.497980806207;124.863068791345
8;24;m;0;0;rd/gs;1;40;50;0.0;5.0;2.0;greenSquare100S;target2;531.578537832056;254.317893286707
8;24;m;0;0;rd/gs;1;40;50;0.0;8.0;4.0;redSquare100S;distractor1;827.906017309042;407.011121854843
8;24;m;0;0;rd/gs;1;40;50;0.0;1.0;4.0;redSquare100S;distractor1;232.623719878863;418.174067919173
8;24;m;0;0;rd/gs;1;40;50;0.0;8.0;2.0;redSquare100S;distractor1;785.424978620282;279.215515297558
8;24;m;0;0;rd/gs;1;40;50;0.0;9.0;2.0;redSquare100S;distractor1;903.708457704709;251.174551558448
8;24;m;0;0;rd/gs;1;40;50;0.0;0.0;4.0;redSquare100S;distractor1;123.828870951964;422.737123795897
8;24;m;0;0;rd/gs;1;40;50;0.0;7.0;7.0;redSquare100S;distractor1;719.432749994451;663.495399244263
8;24;m;0;0;rd/gs;1;40;50;0.0;2.0;0.0;redSquare100S;distractor1;293.17472615068;100.3006760235
8;24;m;0;0;rd/gs;1;40;50;0.0;0.0;1.0;redSquare100S;distractor1;129.450113338708;185.03588798778
8;24;m;0;0;rd/gs;1;40;50;0.0;7.0;6.0;redSquare100S;distractor1;705.032652992783;571.748484794296
8;24;m;0;0;rd/gs;1;40;50;0.0;2.0;5.0;redSquare100S;distractor1;323.572513137626;485.452707369168
8;24;m;0;0;rd/gs;1;40;50;0.0;6.0;1.0;greenDot100S;distractor2;650.707424878331;204.311123965362
8;24;m;0;0;rd/gs;1;40;50;0.0;9.0;3.0;greenDot100S;distractor2;903.611463783257;358.751015055425
8;24;m;0;0;rd/gs;1;40;50;0.0;1.0;1.0;greenDot100S;distractor2;210.642861718452;205.866867828758
