participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;45796.1546666666;0.0;1;0;45791.91;1;0;878.310466211774;127.277926367377;9.0;0.0;878.0;135.5;0.0;0.0;1;0;2;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;46062.2162083346;266.061541668023;2;0;46058.23;1;0;911.139559351422;213.52777570505;9.0;1.0;920.5;224.0;82.2693746177762;92.2864338196189;2;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;46345.8501666682;283.633958333667;3;0;46341.86;1;0;882.388551925988;333.440150121955;9.0;3.0;903.0;335.5;107.12726076961;123.310980720605;3;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;46611.1887916668;265.338624998549;4;4;46608.20;1;0;818.367376082779;422.40351471002;8.0;4.0;825.0;426.5;116.43989866021;109.604704256596;4;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;46929.877708335;318.688916668179;1;1;46924.90;2;0;914.192710104892;587.457515739371;9.0;6.0;921.0;576.5;171.715607910289;190.854179666694;5;0;1;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;47279.7831666685;349.905458333524;1;0;47274.91;3;0;822.356130134862;652.64116442753;8.0;7.0;841.5;660.5;108.903627120496;112.618228883662;6;0;1;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48262.385791666;982.602624997526;2;0;48258.13;3;0;574.606707079372;670.392509039688;5.0;7.0;568.5;685.5;267.080512205589;248.384554390702;7;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48646.012541667;383.626750000985;3;0;48641.93;3;0;482.186506462311;579.368458678774;4.0;6.0;487.5;572.5;140.62805552236;129.718430557127;8;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;49427.8436250024;781.831083335419;4;4;49424.98;3;0;282.844819119225;643.610389312103;2.0;7.0;299.5;648.0;201.574427941641;209.437661284416;9;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;49696.1937500018;268.350124999415;1;0;49692.02;4;0;306.277849087793;586.367967164569;2.0;6.0;305.5;591.0;55.9933031710043;61.8530661068985;10;0;1;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;49927.9921666675;231.798416665697;2;0;49925.03;4;0;199.77131957275;581.285149534992;1.0;6.0;185.5;591.5;111.091178767713;106.627744346368;11;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50546.2124583355;618.220291667967;3;0;50542.09;4;0;291.730926297033;439.06388752157;2.0;4.0;293.5;440.0;178.483892830698;169.361910232423;12;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;51279.4915833329;733.279124997352;4;0;51275.08;4;0;619.320077253989;404.631465029292;6.0;4.0;623.0;404.0;331.741616322101;329.393751524502;13;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;52378.0344166662;1098.54283333334;5;0;52375.13;4;0;461.75260365841;204.703561778705;4.0;1.0;460.5;209.0;255.822692504008;254.555839126643;14;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;52611.0079583341;232.973541667889;6;0;52608.69;4;0;554.447183778196;257.759624258733;5.0;2.0;564.5;267.0;103.4456378974;106.804639175777;15;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;52896.4667083346;285.458750000544;7;0;52892.15;4;0;548.867749560751;104.077786774232;5.0;0.0;556.0;118.0;148.365258736673;153.783085086752;16;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;53294.9243750008;398.457666666218;8;0;53292.06;4;0;705.51671687692;177.078239509094;7.0;1.0;710.0;188.5;155.184567531698;172.823508414558;17;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;53601.8715416685;306.947166667669;9;9;53599.50;4;0;716.717268809278;110.935131318095;7.0;0.0;721.5;112.0;69.1809222257119;67.0847458425206;18;0;0;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;54078.480666667;476.609124998504;1;0;54075.29;5;0;311.992002777856;101.966777972712;2.0;0.0;326.5;106.0;389.532091104186;404.824619219155;19;0;1;0
19;23;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;54511.5844583343;433.103791667236;2;2;54508.62;5;5;203.998038173568;361.592364957502;1.0;3.0;201.0;373.5;279.747207314032;281.190579159666;20;0;0;0
19;23;f;1;0;rs/gd;1;40;50;0.0;target1;redSquare100S;1487.77712499941;0.0;1;0;1451.07;1;0;806.470127904465;567.96401645323;8.0;6.0;817.5;583.5;0.0;0.0;1;0;2;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target1;redSquare100S;1654.40570833016;166.628583330748;2;0;1634.19;1;0;796.859708180568;662.757570070844;8.0;7.0;799.0;663.5;73.8664335134708;95.2794729977286;2;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target1;redSquare100S;2654.54004166531;600.053624999418;3;3;2634.12;1;0;787.871363979499;334.868846144494;8.0;3.0;784.0;346.5;22.6384628453435;328.011898579194;4;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;2987.88962499748;333.349583332165;1;0;2967.66;2;0;805.664474745205;263.33556869325;8.0;2.0;803.5;270.5;76.6436559670792;73.7129878219388;5;0;1;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;3237.94308333163;250.05345833415;2;0;3217.47;2;0;794.29440851115;192.305944221462;8.0;1.0;799.0;204.0;65.5934447944305;71.9338999274338;6;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;3454.56558333171;216.622500000085;3;0;3434.16;2;0;720.628230624397;256.63507839478;7.0;2.0;729.0;265.5;86.5014450746344;97.8005279532354;7;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;3771.1409166659;316.575333334185;4;4;3751.13;2;0;749.245490077461;516.761680930071;7.0;5.0;764.5;532.0;252.507920667848;261.696000896379;8;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target1;redSquare100S;5088.02420833308;1316.88329166718;1;0;5051.35;3;0;535.708897955946;186.99689078412;5.0;1.0;544.5;189.0;404.077034734715;392.864726076131;9;0;1;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target1;redSquare100S;5254.9158749971;166.891666664014;2;2;5234.20;3;0;536.898637253699;113.016947007807;5.0;0.0;542.0;113.0;69.065186599328;73.9895098020194;10;0;0;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;5471.23424999882;216.31837500172;1;0;5451.25;4;0;628.708945699756;102.287280078417;6.0;0.0;629.0;113.5;72.5155155811499;92.4351582969153;11;0;1;2
19;23;f;1;0;rs/gd;1;40;50;0.0;target2;greenDot100S;5804.68633333294;333.452083334123;2;0;5784.28;4;0;375.734567813672;200.360787583151;3.0;1.0;393.0;204.0;244.266248180136;271.319827401413;12;0;0;2
