participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
15;0;;0;0;rs/gd;1;80;50;0.0;target2;greenDot100S;44245.4918749863;0.0;1;0;44225.18;1;0;204.45524461348;102.807394340583;1.0;0.0;210.0;101.0;0.0;0.0;1;0;2;0
15;0;;0;0;rs/gd;1;80;50;0.0;target2;greenDot100S;44462.2342083312;215.742333344882;2;0;44442.14;1;0;115.007121044208;130.114133563761;0.0;0.0;108.0;142.5;108.817507782526;93.5233918175891;2;0;0;0
15;0;;0;0;rs/gd;1;80;50;0.0;target2;greenDot100S;44978.8515833206;250.082624988863;3;0;44958.58;1;0;215.44393389015;184.133577975483;1.0;1.0;220.0;159.0;28.7445647036096;114.042333145205;4;0;0;0
15;0;;0;0;rs/gd;1;80;50;0.0;target2;greenDot100S;45195.6223333254;215.770750004798;4;4;45175.14;1;0;132.093329075374;181.350134703303;0.0;1.0;130.0;171.5;87.5;83.3970675709787;5;0;0;0
15;0;;0;0;rs/gd;1;80;50;0.0;target1;redSquare100S;45445.4042083235;249.781874998007;1;0;45425.14;2;0;133.185849522602;265.575594744115;0.0;2.0;135.0;272.0;95.1892851112981;84.2325454917171;6;0;1;0
15;0;;0;0;rs/gd;1;80;50;0.0;target1;redSquare100S;45779.0086249879;333.604415664457;2;0;45742.15;2;0;278.829124151976;271.340474792055;2.0;2.0;270.5;265.0;135.40771765302;145.757323279645;7;0;0;0
15;0;;0;0;rs/gd;1;80;50;0.0;target1;redSquare100S;46012.3838750005;233.375250012614;3;3;45992.19;2;0;303.210838327256;206.56802544449;2.0;1.0;288.0;206.5;61.3208773583679;69.2093792785371;8;0;0;0
15;0;;0;0;rs/gd;1;80;50;0.0;distractor1;redDot100S;47395.6254583318;1383.24158333126;1;1;47375.22;3;3;399.295848091581;109.996153312492;3.0;0.0;404.0;107.0;152.5;136.229422624076;9;1;1;0
15;0;;1;0;rs/gd;1;80;50;0.0;distractor1;redDot100S;1908.25604157185;0.0;1;1;1905.74;1;1;617.640133447887;491.538226944333;6.0;5.0;627.0;501.0;0.0;0.0;1;1;2;0
15;0;;2;0;rs/gd;1;80;50;0.0;distractor1;redDot100S;593.188624974573;0.0;1;1;572.84;1;1;661.602695486748;135.600267770144;6.0;0.0;658.0;131.0;0.0;0.0;1;1;2;0
