participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
20;24;m;0;0;rd/gs;1;40;50;0.0;1.0;5.0;redDot100S;target1;205.447431905816;479.50064162088
20;24;m;0;0;rd/gs;1;40;50;0.0;0.0;6.0;redDot100S;target1;129.033650520463;577.115401970875
20;24;m;0;0;rd/gs;1;40;50;0.0;6.0;1.0;redDot100S;target1;648.237397449252;182.080667765359
20;24;m;0;0;rd/gs;1;40;50;0.0;6.0;0.0;redDot100S;target1;650.749779098892;136.476857472822
20;24;m;0;0;rd/gs;1;40;50;0.0;8.0;7.0;redDot100S;target1;807.25432189799;672.817021921775
20;24;m;0;0;rd/gs;1;40;50;0.0;8.0;4.0;redDot100S;target1;800.747490949374;430.20469400159
20;24;m;0;0;rd/gs;1;40;50;0.0;0.0;5.0;redDot100S;target1;123.232210328982;478.249667105685
20;24;m;0;0;rd/gs;1;40;50;0.0;6.0;5.0;redDot100S;target1;652.928870427953;481.275492974318
20;24;m;0;0;rd/gs;1;40;50;0.0;7.0;5.0;redDot100S;target1;745.073029392795;504.72939438293
20;24;m;0;0;rd/gs;1;40;50;0.0;7.0;2.0;redDot100S;target1;738.377234901002;275.650299776423
20;24;m;0;0;rd/gs;1;40;50;0.0;5.0;3.0;greenSquare100S;target2;571.430180515455;324.350516182139
20;24;m;0;0;rd/gs;1;40;50;0.0;0.0;1.0;greenSquare100S;target2;116.706446818472;201.251910958156
20;24;m;0;0;rd/gs;1;40;50;0.0;5.0;6.0;greenSquare100S;target2;534.247570918182;574.130229486786
20;24;m;0;0;rd/gs;1;40;50;0.0;3.0;1.0;greenSquare100S;target2;396.703410484751;173.211140447103
20;24;m;0;0;rd/gs;1;40;50;0.0;5.0;1.0;greenSquare100S;target2;543.26090381581;206.060806524378
20;24;m;0;0;rd/gs;1;40;50;0.0;9.0;7.0;greenSquare100S;target2;870.243013336028;642.392115597934
20;24;m;0;0;rd/gs;1;40;50;0.0;2.0;5.0;greenSquare100S;target2;272.855245067741;500.920051728775
20;24;m;0;0;rd/gs;1;40;50;0.0;1.0;4.0;greenSquare100S;target2;199.304813240341;434.590941162676
20;24;m;0;0;rd/gs;1;40;50;0.0;4.0;5.0;greenSquare100S;target2;455.700740327769;507.451016882777
20;24;m;0;0;rd/gs;1;40;50;0.0;0.0;4.0;greenSquare100S;target2;134.385805278288;415.801163655632
20;24;m;0;0;rd/gs;1;40;50;0.0;4.0;3.0;redSquare100S;distractor1;456.898481454268;344.908518014353
20;24;m;0;0;rd/gs;1;40;50;0.0;7.0;4.0;redSquare100S;distractor1;699.419300721762;419.899659169375
20;24;m;0;0;rd/gs;1;40;50;0.0;4.0;2.0;redSquare100S;distractor1;481.540380683442;253.677899383797
20;24;m;0;0;rd/gs;1;40;50;0.0;1.0;3.0;redSquare100S;distractor1;224.649494588597;342.664768534392
20;24;m;0;0;rd/gs;1;40;50;0.0;2.0;3.0;redSquare100S;distractor1;304.804099585611;367.476718323194
20;24;m;0;0;rd/gs;1;40;50;0.0;8.0;1.0;redSquare100S;distractor1;829.052029962502;169.97225386758
20;24;m;0;0;rd/gs;1;40;50;0.0;3.0;2.0;redSquare100S;distractor1;406.087690867762;264.294181336289
20;24;m;0;0;rd/gs;1;40;50;0.0;4.0;0.0;redSquare100S;distractor1;494.88096431359;106.292114086246
20;24;m;0;0;rd/gs;1;40;50;0.0;3.0;4.0;redSquare100S;distractor1;361.963905071651;433.063473298724
20;24;m;0;0;rd/gs;1;40;50;0.0;7.0;1.0;redSquare100S;distractor1;726.247682418384;172.239262937206
20;24;m;0;0;rd/gs;1;40;50;0.0;1.0;7.0;greenDot100S;distractor2;196.230518228727;673.721439378196
20;24;m;0;0;rd/gs;1;40;50;0.0;9.0;4.0;greenDot100S;distractor2;885.553992576186;415.41295556736
20;24;m;0;0;rd/gs;1;40;50;0.0;0.0;0.0;greenDot100S;distractor2;122.650810987947;125.326879983721
20;24;m;0;0;rd/gs;1;40;50;0.0;1.0;2.0;greenDot100S;distractor2;209.470564734386;268.73368770533
20;24;m;0;0;rd/gs;1;40;50;0.0;8.0;6.0;greenDot100S;distractor2;806.655235046654;575.787104215601
20;24;m;0;0;rd/gs;1;40;50;0.0;9.0;3.0;greenDot100S;distractor2;882.771197951987;365.782749195887
20;24;m;0;0;rd/gs;1;40;50;0.0;2.0;1.0;greenDot100S;distractor2;273.453265971545;209.802083485171
20;24;m;0;0;rd/gs;1;40;50;0.0;3.0;6.0;greenDot100S;distractor2;372.938817431789;574.339979992403
20;24;m;0;0;rd/gs;1;40;50;0.0;5.0;7.0;greenDot100S;distractor2;571.429556446273;660.061905768567
20;24;m;0;0;rd/gs;1;40;50;0.0;9.0;2.0;greenDot100S;distractor2;889.057108553758;269.561465829992
20;24;m;1;0;rd/gs;1;40;50;0.0;8.0;5.0;redDot100S;target1;832.054364374504;489.227228914094
20;24;m;1;0;rd/gs;1;40;50;0.0;8.0;6.0;redDot100S;target1;823.536307362006;571.743461735864
20;24;m;1;0;rd/gs;1;40;50;0.0;0.0;2.0;redDot100S;target1;145.44592985221;285.25067010074
20;24;m;1;0;rd/gs;1;40;50;0.0;8.0;2.0;redDot100S;target1;836.574394212029;261.674908346131
20;24;m;1;0;rd/gs;1;40;50;0.0;0.0;7.0;redDot100S;target1;102.407274217291;669.841774508524
20;24;m;1;0;rd/gs;1;40;50;0.0;7.0;1.0;redDot100S;target1;700.578123523446;205.122297752481
