participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
15;22;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;47721.943208333;0.0;1;1;47701.97;1;0;908.746964604473;128.925863592874;9.0;0.0;918.5;133.0;0.0;0.0;1;0;2;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;48005.248708334;283.305500001006;1;0;47984.87;2;0;795.355740164573;102.051008156657;8.0;0.0;806.5;107.0;112.660995912516;116.532517499183;2;0;1;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;48438.6898749981;433.441166664124;2;0;48418.25;2;0;833.862296834938;414.465235285018;8.0;4.0;823.0;427.0;315.35694062443;314.778341406805;3;0;0;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;48672.035458334;233.345583335904;3;0;48651.94;2;0;895.255676460089;577.78939187201;9.0;6.0;903.0;591.5;167.943442860982;174.481882115738;4;0;0;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;49005.468416668;333.432958334015;4;0;48984.98;2;0;714.458250800381;497.532179693319;7.0;5.0;721.5;505.5;193.481911299222;197.81033651423;5;0;0;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;49205.3381250007;199.869708332699;5;5;49184.96;2;0;714.519387871211;412.374457769588;7.0;4.0;712.0;414.5;81.3941029804985;85.1577438697206;6;0;0;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;49571.8931250012;366.555000000517;1;0;49537.27;3;0;637.818022522462;637.265691405467;6.0;7.0;644.5;646.0;239.862981720815;237.611376858579;7;0;1;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;49922.0840833332;350.19095833195;2;2;49902.16;3;0;579.209255098936;567.093185972152;5.0;6.0;584.5;566.5;91.9483550695715;91.4284864672578;8;0;0;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50388.7915416672;466.707458333985;1;1;50368.35;4;0;409.827356909002;560.236542654947;3.0;6.0;415.5;553.5;169.266801234028;169.520621140923;9;0;1;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;50838.784333333;449.992791665863;1;1;50818.37;5;0;408.501485139079;413.072832793257;3.0;4.0;408.0;418.5;131.595022702228;147.169682462815;10;0;1;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;51238.6407083322;399.856374999217;1;1;51202.05;6;0;383.695302867515;324.457956447529;3.0;3.0;384.5;323.0;94.7325181761786;92.0214267910403;11;0;1;0
15;22;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;51605.540624998;366.899916665716;1;1;51585.14;7;0;369.412723290977;246.46710297943;3.0;2.0;366.0;254.0;68.1487343976394;79.2878635356166;12;0;1;0
