participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,grouping_selected,grouping_same,grouping_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_same_color,cl_same_shape
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,4113.70879167225,350.119791663019,2,0,4093.25,1,0,874.214176285778,580.700940401311,9.0,6.0,878.5,586.0,94.8683298050514,98.0995509642679,2,0,0,0,"[874.21, 580.7]",0,0,0,0,0,-0.0434656937810903,0.0,72.45866407821762,120.59731547592598,173.6532340614479,44.67982206768515
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,4346.98166669114,233.272875018883,3,0,4326.6,1,0,905.531810236028,646.039308971948,9.0,7.0,922.5,648.5,75.1681448487323,72.4561702252765,3,0,0,0,"[905.53, 646.04]",0,0,0,0,0,-0.0669467896306132,1.0,72.45866407821762,182.40041063550265,234.40540800075405,83.77560146009093
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,4780.40687501198,433.425208320841,4,0,4760.33,1,0,660.02328222351,565.85145501325,6.0,6.0,670.0,569.0,265.173999479587,258.272199915854,4,0,0,0,"[660.02, 565.85]",0,0,0,0,0,-0.0917703733556453,2.0,73.79508181444068,76.74686182509353,82.51294746886698,105.83934287399937
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,4980.2421250206,199.835250008618,5,0,4960.19,1,0,649.557128871316,638.897416389281,6.0,7.0,660.5,645.5,70.7106781186548,73.791956467763,5,0,0,0,"[649.56, 638.9]",0,0,0,0,0,-0.1180993120779945,3.0,73.79508181444068,103.95182778575857,148.7801606397842,58.19795872708943
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,5213.6740416754,233.431916654808,6,0,5193.26,1,0,560.371722443884,670.5763164374,5.0,7.0,573.5,666.0,89.1585666102815,94.6445425150595,6,0,0,0,"[560.37, 670.58]",0,0,0,0,0,-0.146128035678238,4.0,73.42747510298857,111.07655918329489,194.01000025771864,142.5069250948879
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,5496.91591667943,283.241875004023,7,0,5476.62,1,0,491.077573081919,646.282187313976,4.0,7.0,507.5,640.0,71.7722091063108,73.4294480822511,7,0,0,0,"[491.08, 646.28]",0,0,0,0,0,-0.1760912590556812,5.0,67.04867261922492,59.40618907151002,127.06712596104468,158.91404720791675
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,5746.97441668832,250.05850000889,8,0,5710.32,1,0,537.255075794015,597.670663739564,5.0,6.0,558.5,598.5,66.6033032213869,67.0480572496428,8,0,0,0,"[537.26, 597.67]",0,0,0,0,0,-0.2082759424270824,6.0,67.04867261922492,51.17471445938902,185.80671785487198,103.77561996923939
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,6380.5085416825,633.534124994185,9,0,6360.35,1,0,545.786510007622,340.425912561626,5.0,3.0,558.5,349.0,250.504490977707,257.386183347786,9,0,0,0,"[545.79, 340.43]",0,0,0,1,0,-0.2430380486862944,7.0,171.6600364091771,87.07543855760937,112.07178413856003,93.43632912309859
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,6713.74704167829,333.238499995787,10,0,6693.27,1,0,371.027994087794,339.252864110508,3.0,3.0,383.5,337.0,176.78305914312,174.762452858643,10,0,0,0,"[371.03, 339.25]",0,0,0,0,0,-0.2808266095756942,8.0,158.27262618658983,89.70046432432783,62.388320221015675,105.468912007283
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,7047.02370835003,333.276666671736,11,0,7026.72,1,0,284.016631550161,207.038940629339,2.0,1.0,289.0,225.0,146.482934159581,158.27665264637,11,0,0,0,"[284.02, 207.04]",0,0,0,0,0,-0.3222192947339193,9.0,94.83538211026513,85.69495025962735,79.81488144450257,105.42955230863876
