participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;46911.4299166613;0.0;1;0;46891.14;1;0;885.243656528149;191.130205032836;9.0;1.0;886.0;194.5;0.0;0.0;1;0;2;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;47294.6830416622;383.25312500092;2;2;47274.37;1;0;815.313964474758;130.296412947624;8.0;0.0;811.0;129.0;98.7838549561617;92.6871732773686;2;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;47661.4204166617;366.737374999502;1;0;47641.08;2;0;738.509698734981;113.227859925653;7.0;0.0;741.5;108.0;71.7948466117172;78.6780194087914;3;0;1;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;47978.3053749998;316.884958338051;2;0;47958.24;2;0;640.5184936769;119.372588216786;6.0;0.0;637.5;126.5;95.7548954362125;98.1836745824201;4;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;48978.2522499954;583.352708330494;3;3;48958.17;2;0;727.281378736445;266.471840900525;7.0;2.0;719.0;262.5;37.0472671056854;170.780526887495;6;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50194.918958332;1216.66670833656;1;0;50158.23;3;0;717.607315952712;442.783735607638;7.0;4.0;714.0;437.5;170.144056610861;176.5770984753;7;0;1;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50378.2710416635;183.352083331556;2;0;50358.25;3;0;744.906892402695;480.835876632619;7.0;5.0;743.5;485.0;43.1074239545812;46.8319582222812;8;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50711.7539999963;333.482958332752;3;0;50691.48;3;0;830.724904617617;570.153837248481;8.0;6.0;837.0;567.5;116.555780637427;123.864560343535;9;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;50994.8280833269;283.074083330575;4;4;50974.60;3;0;898.005968641229;646.565788495203;9.0;7.0;894.5;639.5;88.9002249715939;101.811236459837;10;0;0;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;51528.343791666;533.51570833911;1;0;51508.32;4;0;715.586794066738;581.007910262443;7.0;6.0;714.0;581.5;190.016446656599;193.841663867239;11;0;1;0
22;26;f;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;51878.3491666618;350.005374995817;2;0;51858.30;4;0;638.29565448386;664.68999217382;6.0;7.0;637.5;660.0;104.71150844105;113.914929184205;12;0;0;0
