participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
5;21;male;0;0;rs/gd;1;80;50;0.0;9.0;6.0;redSquare100S;target1;885.578694238353;585.397212840881
5;21;male;0;0;rs/gd;1;80;50;0.0;7.0;0.0;redSquare100S;target1;719.158244625908;136.272491587691
5;21;male;0;0;rs/gd;1;80;50;0.0;0.0;3.0;redSquare100S;target1;151.70427212595;325.935350491067
5;21;male;0;0;rs/gd;1;80;50;0.0;3.0;6.0;redSquare100S;target1;367.154597010815;558.431992824873
5;21;male;0;0;rs/gd;1;80;50;0.0;5.0;2.0;redSquare100S;target1;546.933081716937;271.166853665879
5;21;male;0;0;rs/gd;1;80;50;0.0;1.0;2.0;redSquare100S;target1;205.309484236419;269.532170135877
5;21;male;0;0;rs/gd;1;80;50;0.0;1.0;4.0;redSquare100S;target1;216.701308511731;402.638689825642
5;21;male;0;0;rs/gd;1;80;50;0.0;3.0;3.0;redSquare100S;target1;362.449100438682;360.478754928837
5;21;male;0;0;rs/gd;1;80;50;0.0;1.0;3.0;redSquare100S;target1;201.391347228865;347.128368223993
5;21;male;0;0;rs/gd;1;80;50;0.0;8.0;6.0;redSquare100S;target1;834.756678700156;557.745942757845
5;21;male;0;0;rs/gd;1;80;50;0.0;2.0;2.0;redSquare100S;target1;288.30568082069;261.839267998413
5;21;male;0;0;rs/gd;1;80;50;0.0;2.0;3.0;redSquare100S;target1;321.886630374656;339.425363950182
5;21;male;0;0;rs/gd;1;80;50;0.0;9.0;3.0;redSquare100S;target1;886.470576565586;346.366344102341
5;21;male;0;0;rs/gd;1;80;50;0.0;6.0;4.0;redSquare100S;target1;622.16619334866;404.425752075781
5;21;male;0;0;rs/gd;1;80;50;0.0;0.0;2.0;redSquare100S;target1;136.276098527177;260.115332807783
5;21;male;0;0;rs/gd;1;80;50;0.0;4.0;6.0;redSquare100S;target1;452.871864998811;572.642717769693
5;21;male;0;0;rs/gd;1;80;50;0.0;5.0;3.0;redSquare100S;target1;532.042335125744;357.596472947001
5;21;male;0;0;rs/gd;1;80;50;0.0;6.0;6.0;redSquare100S;target1;660.494109187251;595.006717211517
5;21;male;0;0;rs/gd;1;80;50;0.0;4.0;3.0;redSquare100S;target1;472.627604214534;325.750737974236
