participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;stType;imgName;timeTS;timeRel;runLength;runTest;touchTS;runN;runNH;stPosX;stPosY;col;row;touchX;touchY;touchDist;targDist;touchN;error;switches;changeScreen
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;33485.3111249995;0.0;1;0;33454.70;1;0;785.726623501125;103.490760406637;8.0;0.0;788.5;96.5;0.0;0.0;1;0;2;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;33768.4563333332;283.145208333735;2;0;33731.72;1;0;733.390409149959;181.329299130461;7.0;1.0;731.0;167.5;82.3286098510111;93.7972144750124;2;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;34084.9632499994;316.506916666185;3;0;34064.73;1;0;878.054514908403;257.429426686221;9.0;2.0;888.5;238.5;166.695080911225;163.459269877524;3;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;34468.4883333339;383.525083334462;4;0;34431.76;1;0;915.282383263106;435.052499673069;9.0;4.0;915.5;421.0;162.513076396947;181.482424051273;4;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;34851.8688333334;383.380499999475;5;0;34831.79;1;0;886.187606711091;579.918969806788;9.0;6.0;891.0;562.5;134.000932832574;147.759264317388;5;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;35318.7412499992;466.872416665865;6;0;35298.21;1;0;664.46978806177;406.939435365128;6.0;4.0;666.0;410.5;269.72810383792;281.21292723178;6;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;36101.7793333322;783.03808333294;7;0;36081.94;1;0;464.371294880252;342.981641945458;4.0;3.0;466.0;333.0;211.733913202397;210.071431452797;7;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;37435.1921666657;1333.41283333357;8;0;37414.90;1;0;372.783536782041;479.863367629763;3.0;5.0;379.0;479.5;174.678275695634;164.696460981314;8;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;38235.3466250006;800.154458334873;9;0;38214.95;1;0;211.354790942744;570.192548674695;1.0;6.0;217.5;555.0;174.132133737573;184.982704411782;9;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target1;redSquare100S;39052.0176249993;816.670999998678;10;10;39031.93;1;0;104.540833336062;104.271990628886;0.0;0.0;110.5;92.5;474.60351873959;478.007518716307;10;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;40252.0377916662;1200.02016666695;1;0;40232.10;2;0;229.705401590779;347.464632134212;1.0;3.0;230.0;340.5;271.906233838064;273.512029038446;11;0;1;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;40602.0848333337;350.047041667494;2;0;40582.24;2;0;207.603172129352;499.8209292979;1.0;5.0;200.5;493.5;146.017978345134;153.951128065356;12;0;0;0
4;22;m;0;0;rs/gd;1;40;50;0.0;target2;greenDot100S;41302.2390000006;700.154166666834;3;0;41282.13;2;0;223.08949859954;131.26638455115;1.0;0.0;234.5;120.5;369.719150166718;368.879761929311;13;0;0;0
