participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
4;0;;0;0;b/y;0;80;50;0.0;2.0;0.0;blueDot100S;target1;322.36427315242;130.69877118832
4;0;;0;0;b/y;0;80;50;0.0;1.0;4.0;blueDot100S;target1;190.161420423585;432.887900298454
4;0;;0;0;b/y;0;80;50;0.0;6.0;4.0;blueDot100S;target1;645.094981836029;428.129640654348
4;0;;0;0;b/y;0;80;50;0.0;5.0;4.0;blueDot100S;target1;566.074360743266;418.767762622829
4;0;;0;0;b/y;0;80;50;0.0;6.0;7.0;blueDot100S;target1;662.003105656696;653.86497180554
4;0;;0;0;b/y;0;80;50;0.0;1.0;2.0;blueDot100S;target1;215.562378680543;287.348570321577
4;0;;0;0;b/y;0;80;50;0.0;5.0;7.0;blueDot100S;target1;560.519813132899;672.847225722204
4;0;;0;0;b/y;0;80;50;0.0;8.0;3.0;blueDot100S;target1;793.835317765915;354.666200492772
4;0;;0;0;b/y;0;80;50;0.0;5.0;2.0;blueDot100S;target1;566.279958340978;265.055261280827
4;0;;0;0;b/y;0;80;50;0.0;9.0;4.0;blueDot100S;target1;909.030339210438;423.41561702159
4;0;;0;0;b/y;0;80;50;0.0;6.0;1.0;blueDot100S;target1;660.860476284429;190.862520896316
4;0;;0;0;b/y;0;80;50;0.0;4.0;0.0;blueDot100S;target1;473.762143593534;102.165483016052
4;0;;0;0;b/y;0;80;50;0.0;1.0;3.0;blueDot100S;target1;208.076910057345;346.388156132803
4;0;;0;0;b/y;0;80;50;0.0;3.0;3.0;blueDot100S;target1;403.052757253296;356.25127298014
4;0;;0;0;b/y;0;80;50;0.0;3.0;4.0;blueDot100S;target1;375.111536865887;400.293703437309
4;0;;0;0;b/y;0;80;50;0.0;4.0;3.0;blueDot100S;target1;459.430608682972;364.253212401067
4;0;;0;0;b/y;0;80;50;0.0;0.0;6.0;blueDot100S;target1;108.424360468123;574.088568596499
4;0;;0;0;b/y;0;80;50;0.0;3.0;5.0;blueDot100S;target1;382.660276527937;503.343214376945
4;0;;0;0;b/y;0;80;50;0.0;3.0;1.0;blueDot100S;target1;406.362252281674;201.156373835366
4;0;;0;0;b/y;0;80;50;0.0;1.0;1.0;blueDot100S;target1;207.663437302575;189.324506989442
4;0;;0;0;b/y;0;80;50;0.0;7.0;7.0;yellowDot100S;target2;729.940346040466;669.745890330446
4;0;;0;0;b/y;0;80;50;0.0;5.0;0.0;yellowDot100S;target2;557.120521455911;119.785140395816
4;0;;0;0;b/y;0;80;50;0.0;3.0;0.0;yellowDot100S;target2;372.336181873068;126.09517286158
4;0;;0;0;b/y;0;80;50;0.0;4.0;7.0;yellowDot100S;target2;465.84124465866;655.028943138397
4;0;;0;0;b/y;0;80;50;0.0;4.0;4.0;yellowDot100S;target2;465.061315442388;444.201608937795
4;0;;0;0;b/y;0;80;50;0.0;8.0;2.0;yellowDot100S;target2;793.537860912526;247.462302009644
4;0;;0;0;b/y;0;80;50;0.0;1.0;5.0;yellowDot100S;target2;214.678250079753;500.405493567142
4;0;;0;0;b/y;0;80;50;0.0;8.0;1.0;yellowDot100S;target2;808.509195711859;169.220533029945
4;0;;0;0;b/y;0;80;50;0.0;9.0;6.0;yellowDot100S;target2;886.704541749093;578.627669459668
4;0;;0;0;b/y;0;80;50;0.0;6.0;3.0;yellowDot100S;target2;660.098604767998;351.772381755691
4;0;;0;0;b/y;0;80;50;0.0;7.0;3.0;yellowDot100S;target2;723.986861938997;349.965582419781
4;0;;0;0;b/y;0;80;50;0.0;6.0;5.0;yellowDot100S;target2;650.548143821331;518.694753299475
