participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
18;26;f;0;0;b/y;0;40;50;0.0;7.0;3.0;blueDot100S;target1;736.415419988805;332.58139473443
18;26;f;0;0;b/y;0;40;50;0.0;5.0;1.0;blueDot100S;target1;554.995774236574;207.874533550885
18;26;f;0;0;b/y;0;40;50;0.0;3.0;1.0;blueDot100S;target1;405.860758008854;197.470106186803
18;26;f;0;0;b/y;0;40;50;0.0;5.0;3.0;blueDot100S;target1;552.485241464366;347.297807003742
18;26;f;0;0;b/y;0;40;50;0.0;1.0;2.0;blueDot100S;target1;206.651639717643;270.185277788809
18;26;f;0;0;b/y;0;40;50;0.0;5.0;6.0;blueDot100S;target1;541.58617211642;598.326229535217
18;26;f;0;0;b/y;0;40;50;0.0;3.0;3.0;blueDot100S;target1;364.51781500163;346.408813302461
18;26;f;0;0;b/y;0;40;50;0.0;1.0;0.0;blueDot100S;target1;208.183484555128;113.819409368715
18;26;f;0;0;b/y;0;40;50;0.0;4.0;4.0;blueDot100S;target1;459.853460765458;432.906379990133
18;26;f;0;0;b/y;0;40;50;0.0;3.0;7.0;blueDot100S;target1;400.25707325179;652.369393151274
18;26;f;0;0;b/y;0;40;50;0.0;2.0;3.0;yellowDot100S;target2;292.429546396566;333.51409000232
18;26;f;0;0;b/y;0;40;50;0.0;7.0;2.0;yellowDot100S;target2;736.395667826412;254.95617370829
18;26;f;0;0;b/y;0;40;50;0.0;8.0;5.0;yellowDot100S;target2;833.783903981301;519.975651083432
18;26;f;0;0;b/y;0;40;50;0.0;1.0;1.0;yellowDot100S;target2;194.352188145797;171.797680354223
18;26;f;0;0;b/y;0;40;50;0.0;9.0;2.0;yellowDot100S;target2;912.823293904133;261.719278978806
18;26;f;0;0;b/y;0;40;50;0.0;3.0;4.0;yellowDot100S;target2;394.525128726315;415.258452971215
18;26;f;0;0;b/y;0;40;50;0.0;0.0;0.0;yellowDot100S;target2;105.251900708001;134.9706013346
18;26;f;0;0;b/y;0;40;50;0.0;2.0;4.0;yellowDot100S;target2;301.168255728371;432.06939457952
18;26;f;0;0;b/y;0;40;50;0.0;5.0;7.0;yellowDot100S;target2;538.244552532956;631.533492263286
18;26;f;0;0;b/y;0;40;50;0.0;3.0;0.0;yellowDot100S;target2;395.746973438038;129.376497764501
18;26;f;0;0;b/y;0;40;50;0.0;6.0;3.0;redDot100S;distractor1;617.285790498757;330.729984663764
18;26;f;0;0;b/y;0;40;50;0.0;7.0;0.0;redDot100S;distractor1;715.909791390736;114.825537157231
18;26;f;0;0;b/y;0;40;50;0.0;6.0;6.0;redDot100S;distractor1;641.210482471634;553.833465399016
