participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
19;0;;0;0;r/g;0;80;50;0.0;3.0;1.0;redDot100S;target1;375.86315684426;195.911887761949
19;0;;0;0;r/g;0;80;50;0.0;1.0;3.0;redDot100S;target1;229.513531957576;367.5189627911
19;0;;0;0;r/g;0;80;50;0.0;4.0;2.0;redDot100S;target1;449.287843522961;267.235586268178
19;0;;0;0;r/g;0;80;50;0.0;8.0;7.0;redDot100S;target1;797.019987155622;630.046055692328
19;0;;0;0;r/g;0;80;50;0.0;3.0;2.0;redDot100S;target1;409.760745546011;251.579847179271
19;0;;0;0;r/g;0;80;50;0.0;8.0;1.0;redDot100S;target1;825.344828913312;195.838786380283
19;0;;0;0;r/g;0;80;50;0.0;9.0;7.0;redDot100S;target1;895.683328712588;647.947623249742
19;0;;0;0;r/g;0;80;50;0.0;3.0;4.0;redDot100S;target1;400.768924657355;442.837484340092
19;0;;0;0;r/g;0;80;50;0.0;4.0;7.0;redDot100S;target1;452.300067991784;631.168150488635
19;0;;0;0;r/g;0;80;50;0.0;1.0;4.0;redDot100S;target1;193.343552286094;400.692562347225
19;0;;0;0;r/g;0;80;50;0.0;0.0;2.0;redDot100S;target1;149.021474175981;284.227179561785
19;0;;0;0;r/g;0;80;50;0.0;3.0;0.0;redDot100S;target1;378.144660591753;96.7808128536512
19;0;;0;0;r/g;0;80;50;0.0;9.0;2.0;redDot100S;target1;919.97551498299;288.405829283096
19;0;;0;0;r/g;0;80;50;0.0;4.0;3.0;redDot100S;target1;477.496002287193;347.493321634578
19;0;;0;0;r/g;0;80;50;0.0;4.0;6.0;redDot100S;target1;452.57286056147;563.323189538992
19;0;;0;0;r/g;0;80;50;0.0;1.0;5.0;redDot100S;target1;192.991635123191;500.009370806123
19;0;;0;0;r/g;0;80;50;0.0;4.0;0.0;redDot100S;target1;445.678090100587;101.684347773591
19;0;;0;0;r/g;0;80;50;0.0;5.0;5.0;redDot100S;target1;574.029765789399;494.71788121127
19;0;;0;0;r/g;0;80;50;0.0;6.0;3.0;redDot100S;target1;631.801083850647;365.964581918315
19;0;;0;0;r/g;0;80;50;0.0;0.0;6.0;redDot100S;target1;127.099047400818;584.916179187282
19;0;;0;0;r/g;0;80;50;0.0;2.0;1.0;greenDot100S;target2;324.192219409948;213.906779940853
19;0;;0;0;r/g;0;80;50;0.0;1.0;7.0;greenDot100S;target2;211.647578130926;630.851453935072
19;0;;0;0;r/g;0;80;50;0.0;2.0;5.0;greenDot100S;target2;307.521129707647;516.333063577349
19;0;;0;0;r/g;0;80;50;0.0;8.0;0.0;greenDot100S;target2;819.186163046266;108.710113172165
19;0;;0;0;r/g;0;80;50;0.0;3.0;5.0;greenDot100S;target2;364.008544796343;487.249087860737
19;0;;0;0;r/g;0;80;50;0.0;1.0;2.0;greenDot100S;target2;219.94157050912;290.681885528507
19;0;;0;0;r/g;0;80;50;0.0;6.0;2.0;greenDot100S;target2;664.451910778048;281.392160329894
19;0;;0;0;r/g;0;80;50;0.0;5.0;7.0;greenDot100S;target2;577.597382393909;651.397122300863
19;0;;0;0;r/g;0;80;50;0.0;2.0;3.0;greenDot100S;target2;276.497440673223;332.099400861136
19;0;;0;0;r/g;0;80;50;0.0;4.0;1.0;greenDot100S;target2;465.591947559972;177.766107779426
19;0;;0;0;r/g;0;80;50;0.0;3.0;7.0;greenDot100S;target2;366.609182887919;675.172496468164
19;0;;0;0;r/g;0;80;50;0.0;2.0;4.0;greenDot100S;target2;317.674744288032;441.937710461996
19;0;;0;0;r/g;0;80;50;0.0;9.0;1.0;greenDot100S;target2;875.981643555498;196.129671731217
19;0;;0;0;r/g;0;80;50;0.0;7.0;1.0;greenDot100S;target2;703.648150136662;190.481436140086
19;0;;0;0;r/g;0;80;50;0.0;8.0;6.0;greenDot100S;target2;828.853349843536;566.667396303593
19;0;;0;0;r/g;0;80;50;0.0;0.0;1.0;greenDot100S;target2;113.23938399179;189.512542135624
19;0;;0;0;r/g;0;80;50;0.0;4.0;4.0;greenDot100S;target2;481.688241073321;432.523812766159
19;0;;0;0;r/g;0;80;50;0.0;7.0;2.0;greenDot100S;target2;704.759568716761;256.295628961057
19;0;;0;0;r/g;0;80;50;0.0;7.0;3.0;greenDot100S;target2;712.658360282287;337.728242519684
19;0;;0;0;r/g;0;80;50;0.0;6.0;6.0;greenDot100S;target2;631.286640845905;593.339955411099
19;0;;0;0;r/g;0;80;50;0.0;0.0;7.0;blueDot100S;distractor1;130.137250085241;672.637390993107
19;0;;0;0;r/g;0;80;50;0.0;5.0;0.0;blueDot100S;distractor1;542.666883284445;93.9421646587783
19;0;;0;0;r/g;0;80;50;0.0;5.0;3.0;blueDot100S;distractor1;576.448660441949;338.765627719868
19;0;;0;0;r/g;0;80;50;0.0;8.0;3.0;blueDot100S;distractor1;809.214355065155;351.332326363417
19;0;;0;0;r/g;0;80;50;0.0;1.0;6.0;blueDot100S;distractor1;217.135912632904;597.196188486543
19;0;;0;0;r/g;0;80;50;0.0;4.0;5.0;blueDot100S;distractor1;463.584115950745;495.670982178098
19;0;;0;0;r/g;0;80;50;0.0;7.0;5.0;blueDot100S;distractor1;711.352860465535;488.560187095815
19;0;;0;0;r/g;0;80;50;0.0;7.0;4.0;blueDot100S;distractor1;703.327070143981;426.252643427151
19;0;;0;0;r/g;0;80;50;0.0;2.0;7.0;blueDot100S;distractor1;302.061440229503;640.954410243777
19;0;;0;0;r/g;0;80;50;0.0;0.0;0.0;blueDot100S;distractor1;119.962159658191;106.25996917363
19;0;;0;0;r/g;0;80;50;0.0;5.0;2.0;blueDot100S;distractor1;535.924398942214;259.06610173215
19;0;;0;0;r/g;0;80;50;0.0;6.0;1.0;blueDot100S;distractor1;619.323701092584;191.338314475157
19;0;;0;0;r/g;0;80;50;0.0;3.0;6.0;blueDot100S;distractor1;366.080196390813;571.328048653759
19;0;;0;0;r/g;0;80;50;0.0;7.0;0.0;blueDot100S;distractor1;741.526890066193;116.818771396242
19;0;;0;0;r/g;0;80;50;0.0;0.0;5.0;blueDot100S;distractor1;118.959717468182;507.950613611942
19;0;;0;0;r/g;0;80;50;0.0;9.0;6.0;blueDot100S;distractor1;905.316072474863;591.79614336891
19;0;;0;0;r/g;0;80;50;0.0;6.0;0.0;blueDot100S;distractor1;639.134901067678;110.494890154918
19;0;;0;0;r/g;0;80;50;0.0;7.0;6.0;blueDot100S;distractor1;736.762311463575;579.194035833517
19;0;;0;0;r/g;0;80;50;0.0;0.0;3.0;blueDot100S;distractor1;125.332117427984;360.754494936592
19;0;;0;0;r/g;0;80;50;0.0;0.0;4.0;blueDot100S;distractor1;118.973907302876;440.540576810667
19;0;;0;0;r/g;0;80;50;0.0;5.0;4.0;yellowDot100S;distractor2;551.256701055471;405.60987624023
19;0;;0;0;r/g;0;80;50;0.0;8.0;5.0;yellowDot100S;distractor2;789.494864637755;516.593989215507
19;0;;0;0;r/g;0;80;50;0.0;5.0;6.0;yellowDot100S;distractor2;545.088898280147;581.981265961507
19;0;;0;0;r/g;0;80;50;0.0;9.0;4.0;yellowDot100S;distractor2;908.648358259182;441.44673639002
19;0;;0;0;r/g;0;80;50;0.0;8.0;4.0;yellowDot100S;distractor2;799.359210872706;405.723007530218
19;0;;0;0;r/g;0;80;50;0.0;1.0;0.0;yellowDot100S;distractor2;196.595701713926;126.49029255961
