participantN;age;gender;trialN;task;condition;FeatConj;setSize;proportion;timelimit;col;row;imgName;stType;posX;posY
22;26;f;0;0;rs/gd;1;40;50;0.0;0.0;0.0;redSquare100S;target1;142.687535136301;125.496740878033
22;26;f;0;0;rs/gd;1;40;50;0.0;2.0;2.0;redSquare100S;target1;321.740188769059;253.066194443583
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;6.0;redSquare100S;target1;715.586794066738;581.007910262443
22;26;f;0;0;rs/gd;1;40;50;0.0;0.0;5.0;redSquare100S;target1;148.421118001323;521.859886604318
22;26;f;0;0;rs/gd;1;40;50;0.0;5.0;7.0;redSquare100S;target1;531.43237665518;649.768437795174
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;0.0;redSquare100S;target1;738.509698734981;113.227859925653
22;26;f;0;0;rs/gd;1;40;50;0.0;6.0;0.0;redSquare100S;target1;640.5184936769;119.372588216786
22;26;f;0;0;rs/gd;1;40;50;0.0;6.0;7.0;redSquare100S;target1;638.29565448386;664.68999217382
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;2.0;redSquare100S;target1;727.281378736445;266.471840900525
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;0.0;redSquare100S;target1;227.987771422562;112.963054690993
22;26;f;0;0;rs/gd;1;40;50;0.0;9.0;7.0;greenDot100S;target2;898.005968641229;646.565788495203
22;26;f;0;0;rs/gd;1;40;50;0.0;9.0;1.0;greenDot100S;target2;885.243656528149;191.130205032836
22;26;f;0;0;rs/gd;1;40;50;0.0;4.0;5.0;greenDot100S;target2;489.753746829441;522.484000377129
22;26;f;0;0;rs/gd;1;40;50;0.0;4.0;7.0;greenDot100S;target2;483.390702117458;639.725445751212
22;26;f;0;0;rs/gd;1;40;50;0.0;8.0;0.0;greenDot100S;target2;815.313964474758;130.296412947624
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;5.0;greenDot100S;target2;744.906892402695;480.835876632619
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;1.0;greenDot100S;target2;189.59217365761;183.387029424185
22;26;f;0;0;rs/gd;1;40;50;0.0;3.0;3.0;greenDot100S;target2;388.296600749511;335.317497542984
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;4.0;greenDot100S;target2;717.607315952712;442.783735607638
22;26;f;0;0;rs/gd;1;40;50;0.0;8.0;6.0;greenDot100S;target2;830.724904617617;570.153837248481
22;26;f;0;0;rs/gd;1;40;50;0.0;6.0;6.0;redDot100S;distractor1;663.563435018577;565.063091726956
22;26;f;0;0;rs/gd;1;40;50;0.0;6.0;5.0;redDot100S;distractor1;646.816532444318;519.619579242402
22;26;f;0;0;rs/gd;1;40;50;0.0;8.0;2.0;redDot100S;distractor1;802.623850370101;268.815895430501
22;26;f;0;0;rs/gd;1;40;50;0.0;2.0;4.0;redDot100S;distractor1;291.805530079286;443.89304277244
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;2.0;redDot100S;distractor1;233.311268553391;277.655603869615
22;26;f;0;0;rs/gd;1;40;50;0.0;5.0;5.0;redDot100S;distractor1;545.09977087794;476.881894993448
22;26;f;0;0;rs/gd;1;40;50;0.0;5.0;4.0;redDot100S;distractor1;552.757911172819;402.131455170363
22;26;f;0;0;rs/gd;1;40;50;0.0;4.0;1.0;redDot100S;distractor1;474.098710294195;214.066482530348
22;26;f;0;0;rs/gd;1;40;50;0.0;0.0;1.0;redDot100S;distractor1;116.810567060434;173.141067974222
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;6.0;redDot100S;distractor1;202.008979864438;590.145966786916
22;26;f;0;0;rs/gd;1;40;50;0.0;8.0;4.0;greenSquare100S;distractor2;826.335955410756;402.458773711178
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;3.0;greenSquare100S;distractor2;212.447037260085;341.105941141065
22;26;f;0;0;rs/gd;1;40;50;0.0;2.0;0.0;greenSquare100S;distractor2;278.322178346212;110.856926411543
22;26;f;0;0;rs/gd;1;40;50;0.0;3.0;4.0;greenSquare100S;distractor2;401.245149022592;414.264938788616
22;26;f;0;0;rs/gd;1;40;50;0.0;0.0;4.0;greenSquare100S;distractor2;125.820105546797;438.014540728228
22;26;f;0;0;rs/gd;1;40;50;0.0;1.0;5.0;greenSquare100S;distractor2;236.967991099013;507.144371497773
22;26;f;0;0;rs/gd;1;40;50;0.0;7.0;3.0;greenSquare100S;distractor2;732.30619735518;335.813056991908
22;26;f;0;0;rs/gd;1;40;50;0.0;3.0;6.0;greenSquare100S;distractor2;394.854453118161;556.125760978183
22;26;f;0;0;rs/gd;1;40;50;0.0;8.0;5.0;greenSquare100S;distractor2;818.838296572207;518.610674119742
22;26;f;0;0;rs/gd;1;40;50;0.0;4.0;0.0;greenSquare100S;distractor2;474.312669237054;135.785050013994
22;26;f;1;0;rs/gd;1;40;50;0.0;2.0;3.0;redSquare100S;target1;309.185230070826;346.278003606817
22;26;f;1;0;rs/gd;1;40;50;0.0;4.0;0.0;redSquare100S;target1;479.57654842803;138.641349022327
